value_ratio,time_delta,same_asset,hop_count,amount_similarity,degree,fanout,fanin,address_age,transaction_frequency,entity_evidence,path_length,relevance_score
0.9995,2.6,1,2,1.0,1.67,0.67,1.0,621,17.5,0,3,18.235132432217938
0.6805,1.0,1,3,0.3018,4.75,1.5,3.25,551,47.8,1,4,42.07755437758202
0.0982,1.0,1,1,0.0,41.0,0.5,40.5,664,412.5,2,2,84.71161388956855
0.9998,12.4,1,2,0.9999,2.0,1.0,1.0,243,28.8,0,3,16.95453324751514
0.0416,53.7,1,1,0.0,43.0,0.5,42.5,19,431.4,1,2,63.20032044339064
0.0618,14.8,1,1,0.0877,43.5,0.5,43.0,6,441.5,1,2,64.51705614320697
0.9996,1.0,1,3,0.9992,2.5,1.5,1.0,472,26.3,0,4,26.459656514800283
0.4258,60.2,1,1,0.3978,2.0,1.0,1.0,73,21.9,0,2,25.15280585900313
0.8102,1.0,0,5,0.7938,2.5,1.0,1.5,634,28.6,0,6,24.293199457443368
0.6072,1.0,1,1,0.8279,9.0,0.5,8.5,153,91.3,1,2,38.382718713505184
0.6327,1.0,1,3,0.9521,3.0,2.0,1.0,130,34.2,1,4,33.12323612722432
0.8671,75.5,1,2,0.9818,2.33,1.0,1.33,747,24.1,1,3,34.46894555001365
0.8938,1.0,1,3,0.6479,6.5,1.0,5.5,797,71.1,1,4,34.92582633099425
0.7574,21.7,0,1,0.0,11.0,1.0,10.0,498,112.1,1,2,43.49244386596378
0.8908,27.7,1,4,0.985,1.8,0.8,1.0,375,21.1,0,5,20.718835618128875
0.0904,74.4,1,2,0.3801,36.33,1.0,35.33,171,369.5,1,3,53.849974407195745
0.3763,1.0,1,3,0.3374,33.5,1.0,32.5,172,343.6,1,4,64.43118172956763
0.9793,41.8,1,2,0.9988,1.67,1.0,0.67,553,17.1,0,3,20.445371837109818
0.3029,1.0,1,1,0.2572,2.0,0.5,1.5,269,24.8,0,2,25.689999051072196
0.666,1.0,1,2,0.6483,2.67,1.33,1.33,645,29.0,0,3,22.235046602445887
0.4218,101.1,1,5,0.5616,16.5,0.83,15.67,594,168.4,1,6,42.85000914864048
1.0,65.0,1,2,1.0,2.0,1.0,1.0,557,21.8,0,3,16.79732602913224
0.6975,1.0,1,2,0.7115,3.0,1.33,1.67,116,32.5,1,3,31.318800686071988
0.3403,1.0,1,1,0.3678,2.0,1.0,1.0,458,25.2,1,2,30.08430935184319
1.0,18.7,1,1,1.0,2.0,1.0,1.0,352,24.1,3,2,46.96257810907014
0.6209,1.0,1,1,0.5718,3.0,1.0,2.0,727,38.3,1,2,35.35038852398076
0.7464,1.0,1,2,0.4789,14.33,0.67,13.67,189,155.6,1,3,55.51672822505827
0.6105,1.0,0,2,0.1782,14.0,0.67,13.33,612,141.6,1,3,48.849770851752105
0.6799,195.2,1,2,0.0,4.0,1.33,2.67,355,45.4,0,3,30.91486606301619
0.9984,69.9,1,2,1.0,2.0,1.0,1.0,106,21.7,1,3,28.5810922314213
0.9986,1.0,1,1,0.9997,1.5,0.5,1.0,111,25.3,1,2,17.873554649887726
0.719,16.8,1,3,0.7112,4.5,1.25,3.25,173,52.4,1,4,35.9796734042948
0.567,48.3,1,2,0.3146,11.67,0.67,11.0,420,121.6,1,3,44.656182175155294
1.0,1.0,1,4,1.0,2.0,1.0,1.0,651,26.0,0,5,36.03091835392231
1.0,1.0,1,1,1.0,2.0,1.0,1.0,431,25.2,0,2,16.982667439289006
0.9993,1.0,1,1,1.0,1.5,1.0,0.5,288,26.2,0,2,19.623836634188145
0.4275,1.0,1,1,0.1667,6.5,6.0,0.5,70,67.1,0,2,30.04472185595632
0.5599,1.0,1,1,0.9458,2.0,1.0,1.0,532,29.3,0,2,12.50637996136887
0.9984,43.3,1,1,1.0,2.5,1.5,1.0,419,33.6,3,2,54.20993779397264
0.9986,1.0,1,1,1.0,1.5,0.5,1.0,484,16.0,0,2,21.661873079252835
0.8103,1.0,1,5,0.8676,2.5,1.0,1.5,701,26.5,0,6,30.45898201372062
0.9995,49.2,1,1,1.0,2.0,1.0,1.0,142,28.2,0,2,12.895100905350446
0.2839,17.9,1,1,0.0,7.5,0.5,7.0,272,77.1,1,2,49.9942539617426
0.6364,49.3,1,3,0.4605,6.25,1.25,5.0,450,65.5,1,4,32.26572638845676
0.1057,1.0,1,1,0.0035,25.5,0.5,25.0,193,258.8,2,2,70.84860545526543
0.4876,1.0,1,3,0.4344,3.25,1.0,2.25,810,37.0,1,4,49.571605704276685
0.9071,1.0,1,5,0.9902,2.0,1.0,1.0,42,26.2,0,6,19.5663015366433
0.5151,1.0,0,2,0.5,40.0,0.67,39.33,149,400.8,1,3,59.99994798769736
0.7535,13.5,1,4,0.6038,11.0,1.0,10.0,516,115.1,1,5,44.87899254099607
0.2842,21.3,1,1,0.0,9.5,0.5,9.0,530,95.7,0,2,31.520815212933137
0.4371,1.0,1,2,0.4989,28.0,0.67,27.33,290,289.0,0,3,38.446830417304156
0.9999,1.0,1,2,1.0,2.0,1.0,1.0,631,27.6,0,3,20.107012506975824
0.1484,1.0,1,1,0.0,3.0,0.5,2.5,406,32.4,1,2,33.3793697248595
0.1893,1.0,1,1,0.1743,21.5,0.5,21.0,61,215.6,0,2,45.10256803375376
0.2819,1.0,1,1,0.3425,15.0,1.0,14.0,40,152.9,1,2,40.47544004324553
0.7996,69.3,1,3,0.3388,5.25,1.0,4.25,675,55.6,1,4,48.19648699182594
0.0556,129.9,1,1,0.0722,31.0,2.0,29.0,174,310.1,0,2,45.226589283131325
0.0638,24.3,1,2,0.0,33.67,1.0,32.67,68,340.1,1,3,62.76534852776737
0.8781,153.6,1,4,0.9839,2.6,1.8,0.8,841,27.0,0,5,26.64303757437852
0.4769,44.7,1,3,0.1975,8.0,4.5,3.5,193,85.6,1,4,36.25686974256205
0.9997,1.0,1,1,1.0,2.5,1.5,1.0,727,26.2,0,2,19.482655121376474
0.3108,1.0,1,1,0.9464,2.0,1.0,1.0,73,20.9,2,2,45.29271374261122
0.9916,4.3,1,1,1.0,2.0,1.0,1.0,152,20.1,0,2,9.313321854850056
0.988,98.2,1,2,0.998,2.67,1.67,1.0,713,29.7,1,3,30.334866773050564
0.5877,37.3,1,2,0.6237,5.0,1.33,3.67,705,54.3,1,3,36.80268115363168
1.0,18.8,1,5,1.0,1.83,1.0,0.83,586,19.0,0,6,28.4380247629842
0.7174,23.8,1,2,0.862,2.33,1.0,1.33,720,24.0,1,3,24.448900246563724
0.6879,67.4,1,3,0.7078,1.75,1.0,0.75,349,18.0,3,4,46.48832241624836
0.2177,1.0,0,1,0.0,9.5,0.5,9.0,417,96.3,2,2,57.124184799790555
0.6313,1.0,1,3,0.3185,3.75,0.75,3.0,213,42.7,3,4,61.29807907467123
0.6967,1.0,1,2,0.5,3.33,1.0,2.33,769,39.6,1,3,37.132602249826235
0.5553,65.0,1,1,0.9451,1.5,0.5,1.0,60,16.2,1,2,29.543246546144033
0.6661,1.0,1,4,0.4195,2.8,1.2,1.6,784,30.1,1,5,35.67613613673223
0.9999,1.0,1,1,1.0,1.5,0.5,1.0,55,18.4,1,2,28.997966187676763
0.3493,1.0,1,2,0.1817,7.67,1.0,6.67,451,81.7,1,3,44.11375599235037
0.2437,68.7,1,1,0.2013,16.0,0.5,15.5,734,170.2,1,2,43.732724512820774
0.116,9.4,1,1,0.0,19.0,0.5,18.5,476,196.6,2,2,72.24295608551098
0.9998,47.7,1,1,1.0,1.5,0.5,1.0,327,17.3,3,2,49.84767115574757
0.4667,1.0,1,3,0.403,3.0,1.0,2.0,463,31.5,1,4,31.721584201436684
0.7272,17.9,1,3,0.0,5.25,1.0,4.25,589,57.6,1,4,47.36243638691995
0.3773,16.5,1,4,0.3407,4.0,1.4,2.6,590,40.5,0,5,25.625847447866413
0.999,1.0,1,1,1.0,2.5,1.5,1.0,1,30.8,0,2,22.590806707760148
0.2838,1.0,1,1,0.0,1.5,0.5,1.0,813,16.5,1,2,43.82571799049243
0.5517,64.6,1,2,0.5,37.0,1.0,36.0,814,380.3,1,3,56.461797359102974
0.9987,1.0,0,6,1.0,2.14,1.14,1.0,102,27.9,1,7,41.578292629076685
0.9392,1.0,1,2,0.5,3.67,2.0,1.67,669,41.0,1,3,37.87114996089137
1.0,32.5,0,2,1.0,1.67,0.67,1.0,152,19.1,0,3,23.53964431143757
0.9999,1.0,1,4,1.0,2.0,1.0,1.0,565,27.5,0,5,33.09006694841284
0.8086,1.0,1,1,0.9944,3.0,1.0,2.0,557,34.0,3,2,47.552017414171516
0.0364,21.8,1,1,0.0,29.5,0.5,29.0,590,296.3,0,2,46.88193971885912
0.2093,1.0,1,2,0.4557,8.67,0.67,8.0,346,87.7,1,3,35.99469714491057
0.0691,8.6,1,1,0.0,17.0,0.5,16.5,658,175.3,1,2,46.380855028715814
0.9999,25.5,1,5,1.0,2.0,1.0,1.0,581,24.6,0,6,24.033736307626867
0.1751,87.7,1,1,0.2099,2.0,0.5,1.5,661,24.4,0,2,27.201449093698542
0.9998,1.0,1,1,1.0,1.5,0.5,1.0,369,18.3,3,2,49.229260753795835
0.4236,99.6,1,1,0.0,8.0,0.5,7.5,683,84.5,1,2,46.77086088824354
0.9959,1.0,1,1,1.0,2.0,1.0,1.0,365,21.6,1,2,27.946983322448684
1.0,18.2,1,2,1.0,2.0,1.0,1.0,319,21.6,3,3,57.076326594057306
1.0,1.0,1,1,1.0,2.5,1.5,1.0,420,29.8,1,2,27.00427858717026
0.998,35.4,1,3,1.0,2.0,1.0,1.0,81,23.0,0,4,35.33415986625985
1.0,1.0,1,1,1.0,2.0,1.0,1.0,580,24.3,0,2,21.271856929532568
0.8149,2.8,1,1,0.4643,12.0,1.0,11.0,775,121.0,1,2,37.00787476878869
0.4007,93.5,0,3,0.493,3.5,1.5,2.0,273,35.5,0,4,20.819854276903996
1.0,19.4,1,4,1.0,2.2,1.2,1.0,637,26.6,0,5,25.539121019150684
0.6973,1.0,1,3,0.7848,4.0,1.5,2.5,680,43.4,1,4,33.660449826812844
0.2152,35.5,1,1,0.0,28.0,3.0,25.0,423,282.1,1,2,62.04408927547291
0.7823,2.9,1,3,0.7937,4.0,1.25,2.75,799,51.4,0,4,27.625861324414984
0.311,83.4,1,2,0.3202,9.67,0.67,9.0,149,101.0,2,3,51.91846334117171
1.0,1.0,1,1,1.0,2.5,1.5,1.0,617,27.0,0,2,13.837262501932155
0.9999,1.0,1,1,1.0,1.5,1.0,0.5,876,20.6,0,2,9.846606653658636
0.997,101.1,1,2,0.9997,2.0,1.33,0.67,470,23.0,3,3,46.56790105308613
0.0608,1.0,1,1,0.0,30.0,0.5,29.5,338,300.5,2,2,75.93011896736127
0.6907,1.0,1,3,0.7109,22.0,1.0,21.0,445,226.9,1,4,52.07641496900747
0.9995,64.3,1,4,1.0,2.0,1.0,1.0,787,21.1,0,5,15.756665915067371
0.8209,60.9,1,6,0.9727,2.0,1.0,1.0,702,23.1,0,7,26.94989528849424
0.4388,1.0,1,1,0.7989,3.5,1.0,2.5,741,43.7,1,2,33.41047576496826
0.0531,1.0,1,1,0.158,38.5,4.5,34.0,748,388.6,1,2,57.41156607019135
0.6931,1.2,1,2,0.9562,3.67,0.67,3.0,107,39.7,1,3,32.39633522605905
0.6067,32.2,1,4,0.6688,25.2,0.8,24.4,625,255.0,2,5,65.71767536672822
0.3035,1.0,1,3,0.257,2.25,0.75,1.5,285,33.0,3,4,53.23678349412098
0.3989,1.0,0,2,0.128,3.67,0.67,3.0,77,39.4,0,3,31.74745059597227
0.9998,1.0,1,4,1.0,2.0,1.0,1.0,727,20.3,0,5,25.79594229922428
0.5927,1.0,1,4,0.5982,18.8,1.0,17.8,545,190.6,2,5,66.64817723063213
0.0647,1.0,1,1,0.766,76.5,0.5,76.0,16,769.5,2,2,79.56240816807762
0.3274,1.0,1,1,0.7434,20.0,0.5,19.5,753,201.1,1,2,38.403572403853225
0.8087,59.2,1,3,0.6616,6.5,0.75,5.75,689,66.8,1,4,33.04061712258149
1.0,28.3,1,5,1.0,2.0,1.0,1.0,593,22.2,0,6,27.056886210861723
1.0,1.0,1,2,1.0,2.0,1.0,1.0,403,27.6,3,3,52.457789820816465
0.4589,1.0,1,2,0.451,24.33,0.67,23.67,596,246.9,2,3,66.59945178369593
0.116,1.0,1,1,0.0,19.0,0.5,18.5,625,193.7,2,2,82.70742227065693
0.6915,1.0,1,2,0.5857,2.0,1.0,1.0,11,26.3,0,3,26.858968563126588
0.9997,35.7,1,5,1.0,2.0,1.0,1.0,564,25.6,0,6,30.38495324682023
0.1134,1.0,1,1,0.1939,2.5,1.5,1.0,209,28.2,0,2,31.446462644577437
0.049,11.8,1,1,0.0222,47.5,0.5,47.0,62,479.3,1,2,73.28567914022794
0.5147,58.1,1,2,0.5,39.67,0.67,39.0,196,397.7,1,3,60.68454505496564
0.4308,35.8,1,1,0.0,10.0,1.0,9.0,620,101.1,1,2,48.24569081753778
0.6864,27.6,1,3,0.4024,2.75,1.0,1.75,175,35.6,0,4,23.72714953390829
1.0,66.5,1,1,1.0,1.5,0.5,1.0,160,21.4,0,2,16.075431089746086
0.9998,44.8,1,2,0.9991,2.33,0.67,1.67,326,25.0,1,3,27.074613800795667
0.6686,102.2,1,2,0.4945,2.33,0.67,1.67,297,31.8,0,3,24.863962122626447
0.7839,1.0,0,2,0.7588,4.67,0.67,4.0,131,50.3,1,3,46.635063898702796
1.0,55.8,0,4,1.0,2.0,1.0,1.0,359,27.9,3,5,42.77250644978223
0.4321,40.6,1,5,0.4639,10.17,1.17,9.0,203,103.0,1,6,49.912787138510765
0.9725,72.1,1,1,0.0864,8.0,1.0,7.0,513,83.7,0,2,22.97669353345197
0.2882,56.4,1,1,0.0,3.5,0.5,3.0,211,37.0,1,2,36.43819974863179
0.3031,1.0,1,4,0.1093,5.4,4.4,1.0,145,54.7,1,5,50.338325818654354
0.095,1.0,1,1,0.0,17.0,0.5,16.5,201,171.6,1,2,50.96773183415738
0.496,75.0,1,1,0.1996,5.5,0.5,5.0,605,61.0,2,2,42.88850757253326
0.8508,1.0,1,6,0.981,2.29,1.29,1.0,188,26.8,1,7,32.943196415107366
0.4692,31.4,1,1,0.0,12.5,1.0,11.5,678,131.9,1,2,50.13994278104175
0.3101,47.1,1,1,0.9219,2.0,1.0,1.0,162,23.7,2,2,34.48883085120018
0.6107,1.0,1,2,0.0,7.33,1.0,6.33,448,78.3,0,3,35.242901352992824
0.4498,1.0,1,2,0.7088,3.0,1.0,2.0,102,30.8,0,3,23.5042859813588
0.339,8.2,1,5,0.4196,2.33,1.0,1.33,659,26.9,0,6,27.190216831307954
0.5725,120.4,1,4,0.6696,19.4,0.8,18.6,577,194.8,2,5,71.08069145830439
0.6545,4.0,1,1,0.8957,1.5,0.5,1.0,103,17.0,1,2,32.0900924378391
0.6794,17.4,1,2,0.7597,4.0,0.67,3.33,13,42.8,1,3,22.990247142447835
0.998,1.0,1,2,1.0,2.33,1.33,1.0,742,29.9,0,3,20.971145448649246
0.8172,6.5,1,4,0.5829,2.6,1.0,1.6,130,35.6,1,5,34.27593413268958
0.5593,1.0,1,2,0.509,7.67,1.0,6.67,158,77.4,1,3,43.650848007724065
0.4521,1.0,1,3,0.1618,7.25,1.0,6.25,655,72.6,2,4,49.734157167742005
0.9802,1.0,1,1,0.9935,2.0,1.0,1.0,788,27.2,0,2,17.524191589054773
0.9993,1.0,1,5,1.0,2.0,1.0,1.0,147,22.8,0,6,27.251332833016814
0.7083,1.0,1,2,0.2996,14.33,3.0,11.33,571,146.6,1,3,50.45185409188491
0.4776,1.0,1,2,0.5551,24.33,0.67,23.67,486,249.1,2,3,56.57476830407884
0.9992,6.3,0,1,1.0,2.0,1.0,1.0,742,23.4,0,2,16.128000141426458
0.6833,109.5,1,2,0.2078,5.67,0.67,5.0,75,57.2,2,3,47.241788757070154
0.9999,1.0,1,1,1.0,1.5,0.5,1.0,132,23.7,0,2,14.498754985344135
0.784,26.3,1,4,0.75,2.6,1.2,1.4,122,27.0,1,5,44.86909838868419
1.0,2.9,1,1,1.0,2.0,1.0,1.0,733,22.4,0,2,20.027470100540512
0.3403,13.7,1,1,0.0,6.5,0.5,6.0,491,74.2,2,2,45.368366054444294
0.9986,43.2,1,2,1.0,2.67,1.67,1.0,649,29.8,0,3,24.647977747115885
0.0621,1.9,1,1,0.0,36.5,1.5,35.0,122,367.6,0,2,65.35581805356003
0.6495,76.1,1,2,0.4981,2.67,1.0,1.67,437,34.6,1,3,40.15791657571006
0.2219,1.0,1,2,0.0376,7.67,0.67,7.0,668,84.9,2,3,46.25672657976282
0.9996,1.0,1,1,1.0,1.5,1.0,0.5,325,22.9,0,2,15.36491076193286
0.526,33.7,1,3,0.6895,29.75,0.75,29.0,138,298.1,2,4,73.9501242010387
0.9992,1.0,1,2,1.0,2.0,1.0,1.0,358,20.5,0,3,15.77183855486617
0.1494,1.0,0,1,0.0882,43.0,0.5,42.5,105,434.5,1,2,69.36969991394541
0.0986,19.4,1,1,0.0,41.0,0.5,40.5,611,413.0,2,2,80.84506780210691
0.091,48.2,0,1,0.0,1.5,1.0,0.5,397,17.7,0,2,22.46080711006772
0.4819,52.8,1,1,0.0,2.5,0.5,2.0,445,25.4,1,2,37.75903945332703
0.998,23.8,1,2,1.0,2.0,1.0,1.0,132,23.7,1,3,12.311108444435295
0.9245,1.0,1,3,0.6995,7.25,1.25,6.0,833,75.4,1,4,33.101233253754955
0.5285,18.8,1,2,0.4978,12.33,0.67,11.67,368,126.7,1,3,41.92344016064411
0.8398,1.0,1,1,0.6851,1.5,0.5,1.0,348,19.1,0,2,14.355704799225594
0.4946,52.5,1,3,0.375,24.25,1.0,23.25,215,246.9,1,4,64.28663168475904
0.0843,59.8,1,2,0.2401,34.0,0.67,33.33,130,342.0,1,3,54.54785352436785
0.1632,1.0,1,1,0.2096,1.5,0.5,1.0,690,23.2,0,2,23.512231776906596
0.9972,1.0,1,1,1.0,2.0,1.0,1.0,640,27.0,0,2,18.748643581403897
0.98,19.1,1,3,0.9763,1.75,1.0,0.75,429,25.7,1,4,39.04442296626909
0.7889,1.0,1,2,0.4552,5.33,0.67,4.67,572,55.3,0,3,20.369981175105895
1.0,2.4,1,3,1.0,2.25,1.25,1.0,155,25.4,0,4,27.593171278044856
0.5171,1.0,1,4,0.5065,20.4,1.2,19.2,109,208.5,1,5,53.19736389551675
0.9998,10.8,1,1,1.0,2.0,1.0,1.0,544,26.6,0,2,12.780967655800154
0.9997,1.0,1,4,1.0,2.2,1.2,1.0,427,25.1,0,5,25.53490634411007
0.2795,1.0,1,1,0.5304,14.0,1.0,13.0,285,146.0,1,2,43.772035192627925
0.3408,1.0,1,1,0.4904,2.0,1.0,1.0,283,21.7,2,2,39.808521555268236
0.0281,3.3,1,1,0.0,89.5,0.5,89.0,226,896.9,2,2,82.00772167541396
0.3008,1.0,1,3,0.2806,3.0,1.75,1.25,262,42.7,0,4,27.44954420856991
0.6231,114.3,1,2,0.5027,41.0,1.0,40.0,90,410.6,1,3,62.95320491625992
0.521,69.6,0,2,0.4982,31.67,0.67,31.0,243,325.5,1,3,61.76738329480445
1.0,1.0,1,2,1.0,2.0,1.0,1.0,857,27.7,1,3,38.12250212258079
0.9999,1.0,1,1,1.0,1.5,0.5,1.0,729,16.2,0,2,11.162667499527572
0.8543,51.9,0,5,0.6738,3.83,1.33,2.5,371,44.7,0,6,40.16524955151842
0.5095,56.8,1,3,0.5533,27.75,2.75,25.0,55,283.3,1,4,45.62997641852119
1.0,17.9,1,1,1.0,2.0,1.0,1.0,439,24.4,3,2,47.02940803154545
0.3615,44.1,1,3,0.4628,42.25,0.75,41.5,349,423.2,2,4,78.86081485023855
0.5312,1.0,1,4,0.5719,2.0,0.8,1.2,101,25.1,0,5,28.859637061640974
0.0888,1.0,1,1,0.5442,15.5,0.5,15.0,456,161.1,1,2,40.798479868680595
0.5729,51.5,1,2,0.5436,2.0,1.33,0.67,575,22.3,0,3,22.777614518113587
0.4839,1.0,1,3,0.196,3.5,2.0,1.5,718,35.8,0,4,27.621955065001362
